transaction_date,branch_id,total_revenue,order_count,customer_count,new_customers,repeat_customers,staff_count,avg_prep_time,avg_review_score,avg_order_value,peak_hour,day_of_week,is_weekend,unique_products_sold,product_diversity_score,total_cost,waste_cost
2023-01-01,2,788.35,176,176,94,82,5,5.4,4.48,4.48,9,6,1,51,0.6375,318.91,11.55
2023-01-02,2,649.05,159,159,57,102,5,5.05,4.58,4.08,15,0,0,47,0.5875,245.83,11.8
2023-01-03,2,756.0,166,166,66,100,3,17.1,3.73,4.55,15,1,0,48,0.6,271.11,6.64
2023-01-04,2,630.2,140,140,49,91,5,5.43,4.74,4.5,14,2,0,47,0.5875,209.1,8.06
2023-01-05,2,800.9,181,181,61,120,5,5.85,4.47,4.42,11,3,0,52,0.65,261.05,9.49
2023-01-06,2,790.6,181,181,73,108,5,5.33,4.69,4.37,15,4,0,52,0.65,269.25,11.84
2023-01-07,2,788.25,156,156,78,78,5,5.32,4.46,5.05,7,5,1,57,0.7125,321.67,13.12
2023-01-08,2,972.55,205,205,98,107,6,5.63,4.61,4.74,9,6,1,57,0.7125,366.81,16.51
2023-01-09,2,1008.2,192,192,63,129,5,6.43,4.78,5.25,9,0,0,59,0.7375,323.54,23.37
2023-01-10,2,930.55,203,203,91,112,6,5.31,4.65,4.58,9,1,0,61,0.7625,297.49,8.9
2023-01-11,2,841.05,187,187,61,126,5,6.27,4.45,4.5,6,2,0,58,0.725,327.13,11.52
2023-01-12,2,915.1,211,211,81,130,6,5.75,4.46,4.34,10,3,0,60,0.75,364.86,17.28
2023-01-13,2,965.2,193,193,75,118,5,6.18,4.7,5.0,7,4,0,61,0.7625,387.17,14.14
2023-01-14,2,775.0,179,179,87,92,5,5.92,4.66,4.33,8,5,1,59,0.7375,321.29,15.92
2023-01-15,2,856.35,199,199,111,88,5,6.47,4.78,4.3,9,6,1,61,0.7625,298.78,8.45
2023-01-16,2,850.68,192,192,75,117,5,5.99,4.61,4.43,8,0,0,59,0.7375,323.86,12.03
2023-01-17,2,788.9,185,185,66,119,5,6.04,4.79,4.26,6,1,0,62,0.775,259.46,5.28
2023-01-18,2,825.83,186,186,71,115,5,6.28,4.67,4.44,7,2,0,60,0.75,260.29,8.29
2023-01-19,2,788.05,184,184,75,109,5,5.52,4.57,4.28,6,3,0,60,0.75,281.04,8.02
2023-01-20,2,791.55,168,168,70,98,5,5.21,4.6,4.71,10,4,0,53,0.6625,241.99,7.04
2023-01-21,2,1015.0,181,181,107,74,5,5.38,4.41,5.61,9,5,1,64,0.8,395.83,11.13
2023-01-22,2,1003.08,186,186,93,93,5,6.11,4.49,5.39,7,6,1,59,0.7375,413.52,19.96
2023-01-23,2,898.75,170,170,74,96,5,5.63,4.47,5.29,9,0,0,54,0.675,338.42,11.88
2023-01-24,2,1105.8,213,213,66,147,6,5.36,4.59,5.19,10,1,0,61,0.7625,354.36,14.79
2023-01-25,2,1063.85,187,187,76,111,5,6.0,4.64,5.69,9,2,0,59,0.7375,400.44,8.54
2023-01-26,2,1067.35,186,186,59,127,5,5.55,4.48,5.74,6,3,0,61,0.7625,423.0,9.18
2023-01-27,2,1143.5,206,206,68,138,6,5.36,4.74,5.55,7,4,0,63,0.7875,414.68,18.52
2023-01-28,2,604.2,140,140,69,71,3,10.33,4.23,4.32,8,5,1,51,0.6375,221.94,9.13
2023-01-29,2,627.9,140,140,67,73,5,5.36,4.75,4.48,10,6,1,50,0.625,258.61,10.8
2023-01-30,2,737.41,143,143,60,83,5,5.22,4.72,5.16,10,0,0,57,0.7125,250.7,7.93
2023-01-31,2,764.23,138,138,61,77,5,5.28,4.79,5.54,7,1,0,56,0.7,283.37,6.39
2023-02-01,2,783.2,179,179,71,108,5,5.13,4.65,4.38,15,2,0,52,0.65,267.63,13.25
2023-02-02,2,678.15,159,159,66,93,3,15.43,3.75,4.27,8,3,0,50,0.625,232.71,11.57
2023-02-03,2,755.25,170,170,62,108,5,5.67,4.54,4.44,15,4,0,52,0.65,268.69,9.0
2023-02-04,2,881.1,193,193,99,94,5,6.51,4.64,4.57,14,5,1,51,0.6375,339.22,8.09
2023-02-05,2,724.1,164,164,84,80,5,5.78,4.43,4.42,10,6,1,51,0.6375,253.38,10.38
2023-02-06,2,751.9,168,168,70,98,5,5.18,4.68,4.48,17,0,0,48,0.6,292.85,10.68
2023-02-07,2,737.0,158,158,68,90,5,5.31,4.65,4.66,10,1,0,58,0.725,284.26,13.84
2023-02-08,2,883.7,199,199,87,112,5,6.73,4.57,4.44,10,2,0,58,0.725,314.83,13.4
2023-02-09,2,884.58,171,171,73,98,5,5.35,4.43,5.17,9,3,0,51,0.6375,310.16,10.71
2023-02-10,2,961.3,205,205,66,139,6,5.21,4.56,4.69,9,4,0,60,0.75,311.87,9.21
2023-02-11,2,825.48,191,191,100,91,5,6.19,4.57,4.32,8,5,1,59,0.7375,331.7,12.58
2023-02-12,2,1087.6,234,234,126,108,6,6.13,4.71,4.65,10,6,1,61,0.7625,439.89,17.95
2023-02-13,2,1018.43,212,212,94,118,6,5.46,4.53,4.8,7,0,0,60,0.75,372.07,9.48
2023-02-14,2,763.23,179,179,57,122,5,5.71,4.48,4.26,9,1,0,61,0.7625,299.61,10.78
2023-02-15,2,822.85,181,181,77,104,5,5.66,4.44,4.55,6,2,0,63,0.7875,310.01,10.45
2023-02-16,2,923.8,201,201,63,138,6,5.99,4.41,4.6,8,3,0,59,0.7375,345.05,10.52
2023-02-17,2,695.55,169,169,66,103,5,5.01,4.51,4.12,6,4,0,53,0.6625,253.34,6.78
2023-02-18,2,746.45,180,180,85,95,5,5.52,4.58,4.15,7,5,1,58,0.725,301.73,12.64
2023-02-19,2,891.0,200,200,110,90,6,5.66,4.54,4.46,7,6,1,59,0.7375,329.99,14.74
2023-02-20,2,1056.75,204,204,78,126,6,5.57,4.56,5.18,7,0,0,60,0.75,336.24,11.44
2023-02-21,2,954.4,165,165,64,101,5,5.33,4.47,5.78,10,1,0,59,0.7375,365.39,7.61
2023-02-22,2,1060.5,187,187,58,129,5,5.78,4.61,5.67,8,2,0,59,0.7375,417.09,12.24
2023-02-23,2,952.73,178,178,78,100,5,5.77,4.65,5.35,6,3,0,61,0.7625,293.11,9.13
2023-02-24,2,1138.7,214,214,93,121,6,5.58,4.57,5.32,7,4,0,62,0.775,385.55,18.95
2023-02-25,2,1156.65,209,209,116,93,6,5.35,4.77,5.53,7,5,1,58,0.725,411.33,13.03
2023-02-26,2,997.4,170,170,78,92,5,5.4,4.54,5.87,8,6,1,62,0.775,345.13,11.36
2023-02-27,2,1469.25,268,268,114,154,6,9.53,4.36,5.48,9,0,0,63,0.7875,531.3,18.55
2023-02-28,2,719.0,155,155,55,100,5,5.48,4.47,4.64,14,1,0,50,0.625,253.36,12.31
2023-03-01,2,978.7,218,218,86,132,6,5.79,4.44,4.49,15,2,0,51,0.6375,380.33,11.64
2023-03-02,2,886.9,202,202,78,124,6,5.99,4.79,4.39,16,3,0,52,0.65,322.8,8.33
2023-03-03,2,957.25,217,217,76,141,6,5.54,4.49,4.41,11,4,0,51,0.6375,307.59,29.98
2023-03-04,2,904.75,201,201,118,83,6,5.71,4.53,4.5,15,5,1,51,0.6375,340.23,16.02
2023-03-05,2,944.15,215,215,128,87,6,5.36,4.73,4.39,8,6,1,52,0.65,339.88,10.59
2023-03-06,2,950.35,213,213,88,125,6,5.08,4.78,4.46,10,0,0,52,0.65,367.32,11.64
2023-03-07,2,746.15,154,154,57,97,5,5.73,4.63,4.85,7,1,0,56,0.7,259.31,12.16
2023-03-08,2,1130.1,239,239,89,150,6,6.93,4.55,4.73,10,2,0,57,0.7125,363.4,11.17
2023-03-09,2,1282.44,237,237,76,161,6,6.48,4.77,5.41,10,3,0,64,0.8,429.14,17.56
2023-03-10,2,1108.2,236,236,80,156,6,7.23,4.52,4.7,10,4,0,63,0.7875,380.69,14.83
2023-03-11,2,1075.6,236,236,111,125,6,6.79,4.58,4.56,8,5,1,62,0.775,391.58,16.35
2023-03-12,2,1146.15,257,257,141,116,6,8.41,4.66,4.46,10,6,1,60,0.75,474.43,17.67
2023-03-13,2,1340.65,262,262,112,150,6,9.4,4.44,5.12,7,0,0,64,0.8,531.35,24.94
2023-03-14,2,966.28,219,219,95,124,6,6.04,4.43,4.41,10,1,0,62,0.775,383.34,18.97
2023-03-15,2,915.3,209,209,86,123,6,5.77,4.42,4.38,6,2,0,59,0.7375,330.05,16.16
2023-03-16,2,1094.55,240,240,80,160,6,6.95,4.58,4.56,8,3,0,64,0.8,409.68,11.99
2023-03-17,2,952.85,221,221,68,153,6,6.31,4.71,4.31,6,4,0,59,0.7375,332.12,6.93
2023-03-18,2,1037.53,231,231,121,110,6,6.45,4.64,4.49,6,5,1,64,0.8,345.27,7.68
2023-03-19,2,766.35,190,190,87,103,5,6.46,4.64,4.03,7,6,1,57,0.7125,310.75,10.62
2023-03-20,2,1035.1,209,209,76,133,6,5.11,4.54,4.95,7,0,0,58,0.725,411.36,20.06
2023-03-21,2,1057.25,186,186,72,114,5,5.65,4.7,5.68,7,1,0,62,0.775,335.59,15.08
2023-03-22,2,1235.66,210,210,73,137,6,5.27,4.61,5.88,8,2,0,61,0.7625,406.46,11.61
2023-03-23,2,1158.25,223,223,93,130,6,6.42,4.41,5.19,10,3,0,60,0.75,427.7,9.41
2023-03-24,2,1447.1,259,259,80,179,6,8.81,4.37,5.59,10,4,0,62,0.775,447.26,15.29
2023-03-25,2,1348.9,238,238,113,125,6,6.44,4.74,5.67,9,5,1,59,0.7375,504.13,48.11
2023-03-26,2,1130.55,195,195,90,105,5,6.55,4.43,5.8,8,6,1,61,0.7625,442.22,11.29
2023-03-27,2,1489.75,252,252,90,162,6,8.47,4.68,5.91,10,0,0,63,0.7875,567.16,12.86
2023-03-28,2,945.25,207,207,69,138,6,5.06,4.75,4.57,16,1,0,50,0.625,331.97,14.42
2023-03-29,2,840.3,194,194,65,129,5,7.03,4.61,4.33,12,2,0,50,0.625,286.53,10.31
2023-03-30,2,966.79,210,210,80,130,6,5.06,4.56,4.6,10,3,0,57,0.7125,338.92,9.85
2023-03-31,2,1049.53,202,202,76,126,6,5.19,4.7,5.2,7,4,0,66,0.825,398.26,19.09
2023-04-01,2,1168.05,267,267,150,117,6,9.62,4.46,4.37,9,5,1,52,0.65,441.46,13.88
2023-04-02,2,1002.2,233,233,118,115,6,6.66,4.45,4.3,15,6,1,52,0.65,404.59,10.16
2023-04-03,2,1127.55,259,259,101,158,6,8.89,4.46,4.35,8,0,0,52,0.65,440.15,10.96
2023-04-04,2,1092.0,241,241,102,139,6,7.09,4.47,4.53,14,1,0,51,0.6375,420.15,15.78
2023-04-05,2,1202.25,274,274,88,186,6,9.92,4.53,4.39,10,2,0,52,0.65,462.2,16.3
2023-04-06,2,1080.25,245,245,77,168,6,7.21,4.59,4.41,17,3,0,50,0.625,367.02,8.23
2023-04-07,2,1014.75,202,202,64,138,6,5.14,4.41,5.02,9,4,0,58,0.725,401.02,19.45
2023-04-08,2,1513.35,302,302,163,139,6,13.32,4.2,5.01,10,5,1,60,0.75,624.23,21.04
2023-04-09,2,1465.3,264,264,147,117,6,8.74,4.39,5.55,9,6,1,63,0.7875,553.53,13.68
2023-04-10,2,1453.8,314,314,130,184,6,15.01,3.92,4.63,8,0,0,63,0.7875,513.01,16.54
2023-04-11,2,1195.83,282,282,94,188,6,11.25,4.24,4.24,8,1,0,60,0.75,370.42,18.46
2023-04-12,2,1512.55,327,327,125,202,7,11.29,4.09,4.63,10,2,0,64,0.8,490.57,12.27
2023-04-13,2,1247.43,257,257,90,167,6,8.0,4.59,4.85,10,3,0,64,0.8,474.62,13.15
2023-04-14,2,1116.96,240,240,102,138,6,7.41,4.49,4.65,10,4,0,64,0.8,377.4,9.07
2023-04-15,2,1270.05,285,285,134,151,6,10.98,4.29,4.46,6,5,1,63,0.7875,510.46,11.87
2023-04-16,2,1462.88,327,327,181,146,7,10.56,4.28,4.47,8,6,1,67,0.8375,567.32,25.86
2023-04-17,2,1150.05,275,275,116,159,4,25.0,3.8,4.18,6,0,0,62,0.775,468.17,11.71
2023-04-18,2,1164.68,259,259,85,174,6,9.03,4.34,4.5,6,1,0,68,0.85,459.89,15.96
2023-04-19,2,1130.2,263,263,84,179,6,8.73,4.49,4.3,6,2,0,59,0.7375,355.26,15.82
2023-04-20,2,1443.43,279,279,97,182,6,10.27,4.37,5.17,10,3,0,62,0.775,472.04,21.14
2023-04-21,2,1381.65,256,256,97,159,6,8.52,4.35,5.4,7,4,0,63,0.7875,478.01,17.47
2023-04-22,2,1634.18,294,294,148,146,6,12.8,4.17,5.56,10,5,1,69,0.8625,630.15,29.33
2023-04-23,2,1522.76,275,275,156,119,6,9.88,4.54,5.54,6,6,1,66,0.825,517.57,17.9
2023-04-24,2,1558.9,298,298,125,173,6,12.72,4.28,5.23,10,0,0,64,0.8,594.89,14.7
2023-04-25,2,1664.35,296,296,106,190,6,12.21,4.21,5.62,10,1,0,65,0.8125,532.61,23.77
2023-04-26,2,1684.45,290,290,117,173,6,11.98,4.07,5.81,6,2,0,66,0.825,600.67,22.5
2023-04-27,2,1686.1,318,318,107,211,6,15.86,3.95,5.3,10,3,0,62,0.775,594.87,16.48
2023-04-28,2,1111.15,251,251,79,172,6,8.37,4.34,4.43,15,4,0,52,0.65,404.28,13.69
2023-04-29,2,936.9,223,223,101,122,6,6.05,4.8,4.2,17,5,1,51,0.6375,344.97,9.76
2023-04-30,2,1165.33,254,254,150,104,6,8.11,4.54,4.59,8,6,1,59,0.7375,376.79,12.08
2023-05-01,2,1475.4,327,327,108,219,7,10.99,4.16,4.51,7,0,0,52,0.65,532.3,12.45
2023-05-02,2,1276.5,289,289,97,192,6,11.99,4.15,4.42,15,1,0,52,0.65,397.74,18.32
2023-05-03,2,1401.65,317,317,113,204,6,14.83,3.97,4.42,11,2,0,52,0.65,451.55,18.3
2023-05-04,2,1431.3,321,321,123,198,7,10.26,4.39,4.46,14,3,0,52,0.65,475.78,15.06
2023-05-05,2,1528.65,353,353,149,204,7,13.32,3.98,4.33,11,4,0,52,0.65,479.65,20.07
2023-05-06,2,1479.0,337,337,191,146,4,25.0,3.86,4.39,7,5,1,52,0.65,601.5,21.17
2023-05-07,2,1168.55,251,251,113,138,6,7.97,4.62,4.66,7,6,1,58,0.725,387.65,18.21
2023-05-08,2,1869.15,399,399,147,252,7,19.1,3.55,4.68,10,0,0,61,0.7625,688.94,26.56
2023-05-09,2,1822.66,351,351,138,213,7,13.15,4.16,5.19,10,1,0,66,0.825,668.44,30.9
2023-05-10,2,1596.8,361,361,159,202,7,14.25,3.77,4.42,6,2,0,62,0.775,561.74,52.41
2023-05-11,2,1549.75,350,350,122,228,7,12.96,4.18,4.43,8,3,0,61,0.7625,477.31,16.04
2023-05-12,2,1609.65,375,375,140,235,7,15.48,3.63,4.29,10,4,0,62,0.775,557.44,25.26
2023-05-13,2,1899.08,388,388,187,201,7,17.33,3.55,4.89,7,5,1,67,0.8375,646.2,27.18
2023-05-14,2,1590.94,354,354,162,192,7,13.72,3.95,4.49,9,6,1,67,0.8375,519.05,25.12
2023-05-15,2,1611.45,367,367,154,213,7,14.98,3.93,4.39,6,0,0,65,0.8125,511.09,13.5
2023-05-16,2,1684.2,370,370,113,257,7,15.75,3.79,4.55,8,1,0,65,0.8125,628.88,30.16
2023-05-17,2,1684.15,369,369,164,205,7,15.52,3.67,4.56,6,2,0,64,0.8,635.78,18.46
2023-05-18,2,1668.2,376,376,117,259,7,15.89,3.83,4.44,6,3,0,67,0.8375,539.81,18.39
2023-05-19,2,1564.35,361,361,129,232,7,14.28,3.7,4.33,6,4,0,61,0.7625,602.69,15.55
2023-05-20,2,1837.4,357,357,212,145,7,14.21,3.75,5.15,7,5,1,62,0.775,658.49,28.26
2023-05-21,2,1716.95,322,322,171,151,7,10.06,4.5,5.33,7,6,1,66,0.825,575.18,27.34
2023-05-22,2,2257.06,407,407,143,264,8,14.11,3.93,5.55,10,0,0,68,0.85,699.22,22.3
2023-05-23,2,1753.88,322,322,143,179,7,9.87,4.47,5.45,10,1,0,65,0.8125,567.54,17.91
2023-05-24,2,1968.6,368,368,110,258,7,15.04,3.7,5.35,8,2,0,65,0.8125,757.65,17.46
2023-05-25,2,2005.3,353,353,116,237,7,13.11,3.84,5.68,8,3,0,65,0.8125,759.5,23.76
2023-05-26,2,1967.0,343,343,147,196,7,12.26,4.05,5.73,6,4,0,65,0.8125,752.99,34.95
2023-05-27,2,2242.85,403,403,201,202,8,13.68,4.05,5.57,10,5,1,68,0.85,737.33,23.23
2023-05-28,2,1461.05,328,328,194,134,7,11.21,4.26,4.45,16,6,1,52,0.65,515.08,21.6
2023-05-29,2,1197.25,286,286,95,191,6,11.48,4.13,4.19,13,0,0,52,0.65,457.28,18.99
2023-05-30,2,1732.03,333,333,121,212,7,11.78,3.95,5.2,9,1,0,68,0.85,666.3,27.54
2023-05-31,2,1649.27,320,320,109,211,7,9.74,4.43,5.15,10,2,0,66,0.825,564.67,13.59
2023-06-01,2,1602.95,350,350,138,212,7,13.52,4.03,4.58,9,3,0,52,0.65,600.19,16.07
2023-06-02,2,1439.45,330,330,143,187,7,10.66,4.14,4.36,14,4,0,52,0.65,517.66,45.65
2023-06-03,2,1600.35,361,361,190,171,7,14.43,3.69,4.43,12,5,1,52,0.65,560.74,22.36
2023-06-04,2,1595.35,351,351,194,157,7,13.51,3.98,4.55,15,6,1,52,0.65,621.07,30.69
2023-06-05,2,1537.0,348,348,156,192,7,13.3,4.03,4.42,14,0,0,52,0.65,471.31,12.3
2023-06-06,2,1590.4,366,366,121,245,7,15.08,3.86,4.35,7,1,0,52,0.65,589.3,17.5
2023-06-07,2,1282.05,275,275,117,158,6,9.95,4.43,4.66,10,2,0,63,0.7875,484.23,11.65
2023-06-08,2,1954.8,407,407,130,277,8,13.71,3.68,4.8,10,3,0,65,0.8125,723.58,17.6
2023-06-09,2,2159.08,392,392,155,237,7,17.8,3.52,5.51,10,4,0,65,0.8125,703.09,33.38
2023-06-10,2,1886.6,396,396,182,214,7,18.03,3.54,4.76,9,5,1,64,0.8,702.35,30.51
2023-06-11,2,1712.43,385,385,200,185,4,25.0,3.55,4.45,6,6,1,63,0.7875,614.88,21.61
2023-06-12,2,1977.5,436,436,179,257,8,16.4,3.54,4.54,10,0,0,65,0.8125,798.41,36.88
2023-06-13,2,2215.11,447,447,181,266,8,17.9,3.54,4.96,8,1,0,68,0.85,884.8,29.01
2023-06-14,2,1751.36,393,393,157,236,7,17.58,3.62,4.46,10,2,0,64,0.8,544.43,13.82
2023-06-15,2,1644.85,377,377,153,224,7,16.2,3.57,4.36,10,3,0,67,0.8375,531.89,22.29
2023-06-16,2,1805.68,412,412,144,268,8,14.33,3.8,4.38,8,4,0,67,0.8375,730.51,19.09
2023-06-17,2,1724.85,391,391,178,213,7,18.02,3.45,4.41,6,5,1,67,0.8375,682.12,19.89
2023-06-18,2,1805.28,402,402,218,184,8,13.06,4.12,4.49,9,6,1,71,0.8875,713.72,22.18
2023-06-19,2,1733.4,400,400,173,227,8,13.46,3.76,4.33,6,0,0,63,0.7875,558.35,16.55
2023-06-20,2,1929.63,372,372,124,248,7,15.84,3.66,5.19,10,1,0,65,0.8125,730.5,35.02
2023-06-21,2,1890.3,351,351,122,229,7,13.32,3.87,5.39,7,2,0,68,0.85,684.47,14.17
2023-06-22,2,2145.95,399,399,173,226,7,18.59,3.6,5.38,8,3,0,69,0.8625,851.1,30.14
