transaction_date,branch_id,total_revenue,order_count,customer_count,new_customers,repeat_customers,staff_count,avg_prep_time,avg_review_score,avg_order_value,peak_hour,day_of_week,is_weekend,unique_products_sold,product_diversity_score,total_cost,waste_cost
2023-01-01,1,868.4,190,190,110,80,6,5.57,4.69,4.57,18,6,1,47,0.5875,325.38,9.61
2023-01-02,1,925.5,212,212,64,148,6,5.81,4.72,4.37,17,0,0,51,0.6375,333.53,15.07
2023-01-03,1,902.75,205,205,69,136,6,5.66,4.62,4.4,14,1,0,50,0.625,342.01,11.44
2023-01-04,1,808.25,187,187,58,129,6,5.83,4.49,4.32,12,2,0,48,0.6,324.59,8.06
2023-01-05,1,903.05,198,198,67,131,6,5.29,4.79,4.56,12,3,0,48,0.6,323.57,12.7
2023-01-06,1,716.05,152,152,51,101,5,5.64,4.47,4.71,12,4,0,47,0.5875,265.4,11.6
2023-01-07,1,807.3,184,184,87,97,6,5.35,4.61,4.39,18,5,1,49,0.6125,282.65,10.33
2023-01-08,1,793.15,161,161,74,87,6,5.8,4.53,4.93,19,6,1,56,0.7,305.7,12.19
2023-01-09,1,774.01,165,165,59,106,6,5.49,4.48,4.69,8,0,0,58,0.725,299.29,7.41
2023-01-10,1,947.0,210,210,74,136,6,5.01,4.7,4.51,8,1,0,58,0.725,318.62,13.37
2023-01-11,1,740.15,162,162,66,96,6,5.19,4.53,4.57,10,2,0,54,0.675,260.88,11.46
2023-01-12,1,660.7,144,144,49,95,5,5.11,4.68,4.59,8,3,0,54,0.675,224.5,6.92
2023-01-13,1,705.8,175,175,57,118,6,5.57,4.45,4.03,10,4,0,51,0.6375,217.55,9.67
2023-01-14,1,763.7,157,157,73,84,5,5.84,4.51,4.86,9,5,1,62,0.775,267.37,10.24
2023-01-15,1,1348.93,262,262,120,142,7,5.92,4.65,5.15,10,6,1,66,0.825,500.57,11.41
2023-01-16,1,1027.33,229,229,72,157,6,6.58,4.79,4.49,10,0,0,63,0.7875,355.5,17.68
2023-01-17,1,1075.4,209,209,67,142,6,5.66,4.53,5.15,7,1,0,61,0.7625,346.81,15.49
2023-01-18,1,1064.03,214,214,70,144,6,5.3,4.76,4.97,10,2,0,65,0.8125,327.41,12.45
2023-01-19,1,1079.38,220,220,68,152,6,5.99,4.67,4.91,10,3,0,63,0.7875,416.12,12.96
2023-01-20,1,871.43,212,212,71,141,6,5.49,4.53,4.11,8,4,0,63,0.7875,335.37,15.96
2023-01-21,1,992.35,183,183,102,81,6,5.97,4.75,5.42,9,5,1,59,0.7375,400.45,12.55
2023-01-22,1,742.8,166,166,81,85,6,5.32,4.57,4.47,16,6,1,46,0.575,260.0,6.04
2023-01-23,1,928.3,202,202,85,117,6,5.08,4.68,4.6,16,0,0,51,0.6375,360.63,15.52
2023-01-24,1,922.05,202,202,88,114,6,5.39,4.52,4.56,11,1,0,51,0.6375,345.2,13.07
2023-01-25,1,942.0,216,216,70,146,6,5.18,4.66,4.36,8,2,0,50,0.625,334.21,15.92
2023-01-26,1,939.25,215,215,72,143,6,5.18,4.62,4.37,7,3,0,49,0.6125,301.5,12.18
2023-01-27,1,838.55,192,192,80,112,6,5.29,4.54,4.37,18,4,0,49,0.6125,255.98,11.75
2023-01-28,1,733.25,168,168,82,86,6,5.39,4.79,4.36,19,5,1,49,0.6125,242.12,10.66
2023-01-29,1,820.7,184,184,108,76,6,5.52,4.71,4.46,9,6,1,50,0.625,295.33,13.12
2023-01-30,1,870.6,172,172,56,116,6,5.35,4.51,5.06,8,0,0,58,0.725,282.77,7.81
2023-01-31,1,801.5,165,165,67,98,6,5.83,4.54,4.86,9,1,0,57,0.7125,266.27,7.21
2023-02-01,1,833.7,188,188,79,109,6,5.15,4.61,4.43,12,2,0,48,0.6,289.89,10.59
2023-02-02,1,944.8,210,210,63,147,6,5.75,4.45,4.5,14,3,0,51,0.6375,328.52,10.24
2023-02-03,1,940.2,214,214,83,131,6,5.4,4.55,4.39,15,4,0,51,0.6375,312.31,8.04
2023-02-04,1,825.95,191,191,103,88,6,5.58,4.69,4.32,12,5,1,48,0.6,259.94,9.55
2023-02-05,1,871.25,208,208,96,112,6,5.09,4.54,4.19,12,6,1,51,0.6375,346.44,12.86
2023-02-06,1,655.35,139,139,57,82,5,5.45,4.46,4.71,15,0,0,48,0.6,223.14,4.69
2023-02-07,1,804.3,185,185,61,124,6,5.61,4.46,4.35,9,1,0,50,0.625,265.99,6.27
2023-02-08,1,928.8,191,191,79,112,6,5.86,4.56,4.86,14,2,0,58,0.725,367.02,16.56
2023-02-09,1,866.8,182,182,72,110,6,5.8,4.8,4.76,9,3,0,54,0.675,270.13,6.72
2023-02-10,1,868.0,199,199,64,135,6,5.25,4.62,4.36,8,4,0,58,0.725,349.46,32.6
2023-02-11,1,670.05,155,155,77,78,5,5.17,4.71,4.32,8,5,1,53,0.6625,264.12,8.14
2023-02-12,1,680.6,142,142,78,64,5,5.82,4.49,4.79,10,6,1,52,0.65,279.28,6.92
2023-02-13,1,641.9,149,149,60,89,5,5.29,4.79,4.31,10,0,0,47,0.5875,249.81,10.76
2023-02-14,1,747.05,151,151,61,90,5,5.92,4.48,4.95,9,1,0,62,0.775,253.57,24.87
2023-02-15,1,1254.95,262,262,108,154,7,6.37,4.47,4.79,9,2,0,64,0.8,438.45,32.45
2023-02-16,1,1191.3,243,243,84,159,7,5.28,4.53,4.9,7,3,0,66,0.825,439.75,13.02
