metric,label_mode,n_estimators,contamination,max_samples,max_features,bootstrap,label_anomaly_rate,pred_anomaly_rate,pseudo_f1,pseudo_precision,pseudo_recall,score_separation_z
avg_prep_time,iqr(avg_prep_time),300,0.05,auto,0.7,False,0.03867403314917127,0.049723756906077346,0.375,0.3333333333333333,0.42857142857142855,2.511548492776558
avg_prep_time,iqr(avg_prep_time),300,0.05,0.8,0.7,False,0.03867403314917127,0.049723756906077346,0.375,0.3333333333333333,0.42857142857142855,2.4308900195582437
avg_prep_time,iqr(avg_prep_time),200,0.05,0.8,0.7,False,0.03867403314917127,0.049723756906077346,0.375,0.3333333333333333,0.42857142857142855,2.4225999871186827
avg_prep_time,iqr(avg_prep_time),300,0.08,auto,0.7,False,0.03867403314917127,0.08287292817679558,0.36363636363636365,0.26666666666666666,0.5714285714285714,2.4061931600624944
avg_prep_time,iqr(avg_prep_time),300,0.08,0.8,0.7,False,0.03867403314917127,0.08287292817679558,0.36363636363636365,0.26666666666666666,0.5714285714285714,2.33786495975007
avg_prep_time,iqr(avg_prep_time),200,0.08,0.8,1.0,False,0.03867403314917127,0.08287292817679558,0.36363636363636365,0.26666666666666666,0.5714285714285714,2.323010044508157
avg_prep_time,iqr(avg_prep_time),300,0.08,0.8,1.0,False,0.03867403314917127,0.08287292817679558,0.36363636363636365,0.26666666666666666,0.5714285714285714,2.3213755696576066
avg_prep_time,iqr(avg_prep_time),200,0.08,0.6,0.7,False,0.03867403314917127,0.08287292817679558,0.36363636363636365,0.26666666666666666,0.5714285714285714,2.3068440931404486
avg_prep_time,iqr(avg_prep_time),500,0.08,0.8,1.0,False,0.03867403314917127,0.08287292817679558,0.36363636363636365,0.26666666666666666,0.5714285714285714,2.3056651320129093
avg_prep_time,iqr(avg_prep_time),200,0.08,0.6,1.0,False,0.03867403314917127,0.08287292817679558,0.36363636363636365,0.26666666666666666,0.5714285714285714,2.2965904463271865
avg_prep_time,iqr(avg_prep_time),300,0.08,0.6,0.7,False,0.03867403314917127,0.08287292817679558,0.36363636363636365,0.26666666666666666,0.5714285714285714,2.2950513495491123
avg_prep_time,iqr(avg_prep_time),500,0.08,0.6,1.0,False,0.03867403314917127,0.08287292817679558,0.36363636363636365,0.26666666666666666,0.5714285714285714,2.2890623137920167
avg_prep_time,iqr(avg_prep_time),300,0.08,0.6,1.0,False,0.03867403314917127,0.08287292817679558,0.36363636363636365,0.26666666666666666,0.5714285714285714,2.266683349718405
avg_prep_time,iqr(avg_prep_time),500,0.08,auto,0.7,False,0.03867403314917127,0.08287292817679558,0.27272727272727276,0.2,0.42857142857142855,2.4006809911284934
avg_prep_time,iqr(avg_prep_time),200,0.08,auto,0.7,False,0.03867403314917127,0.08287292817679558,0.27272727272727276,0.2,0.42857142857142855,2.3746081502740375
avg_prep_time,iqr(avg_prep_time),500,0.08,0.8,0.7,False,0.03867403314917127,0.08287292817679558,0.27272727272727276,0.2,0.42857142857142855,2.360996966021124
avg_prep_time,iqr(avg_prep_time),200,0.08,auto,1.0,False,0.03867403314917127,0.08287292817679558,0.27272727272727276,0.2,0.42857142857142855,2.34622626426699
avg_prep_time,iqr(avg_prep_time),500,0.08,auto,1.0,False,0.03867403314917127,0.08287292817679558,0.27272727272727276,0.2,0.42857142857142855,2.34260494791153
avg_prep_time,iqr(avg_prep_time),200,0.08,0.8,0.7,False,0.03867403314917127,0.08287292817679558,0.27272727272727276,0.2,0.42857142857142855,2.3407620811532004
avg_prep_time,iqr(avg_prep_time),300,0.08,auto,1.0,False,0.03867403314917127,0.08287292817679558,0.27272727272727276,0.2,0.42857142857142855,2.335310117413814
avg_prep_time,iqr(avg_prep_time),500,0.08,0.6,0.7,False,0.03867403314917127,0.08287292817679558,0.27272727272727276,0.2,0.42857142857142855,2.321054179631224
avg_prep_time,iqr(avg_prep_time),200,0.05,auto,0.7,False,0.03867403314917127,0.049723756906077346,0.25,0.2222222222222222,0.2857142857142857,2.500976553873742
avg_prep_time,iqr(avg_prep_time),500,0.05,auto,0.7,False,0.03867403314917127,0.049723756906077346,0.25,0.2222222222222222,0.2857142857142857,2.475077919596915
avg_prep_time,iqr(avg_prep_time),500,0.05,0.8,0.7,False,0.03867403314917127,0.049723756906077346,0.25,0.2222222222222222,0.2857142857142857,2.431847027303775
avg_prep_time,iqr(avg_prep_time),500,0.05,0.6,0.7,False,0.03867403314917127,0.049723756906077346,0.25,0.2222222222222222,0.2857142857142857,2.408955079784615
avg_prep_time,iqr(avg_prep_time),200,0.05,auto,1.0,False,0.03867403314917127,0.049723756906077346,0.25,0.2222222222222222,0.2857142857142857,2.393783453340364
avg_prep_time,iqr(avg_prep_time),500,0.05,auto,1.0,False,0.03867403314917127,0.049723756906077346,0.25,0.2222222222222222,0.2857142857142857,2.3897996780416118
