metric,label_mode,n_estimators,contamination,max_samples,max_features,bootstrap,label_anomaly_rate,pred_anomaly_rate,pseudo_f1,pseudo_precision,pseudo_recall,score_separation_z
avg_review_score,iqr(avg_review_score),200,0.02,auto,1.0,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,3.0588716828312648
avg_review_score,iqr(avg_review_score),500,0.02,auto,0.7,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,3.006498235055305
avg_review_score,iqr(avg_review_score),500,0.02,auto,1.0,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,3.00327220920595
avg_review_score,iqr(avg_review_score),300,0.02,auto,1.0,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,2.993563400389358
avg_review_score,iqr(avg_review_score),300,0.02,auto,0.7,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,2.9227369111021915
avg_review_score,iqr(avg_review_score),200,0.02,auto,0.7,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,2.863062973523598
avg_review_score,iqr(avg_review_score),500,0.02,0.8,0.7,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,2.852074774149775
avg_review_score,iqr(avg_review_score),200,0.02,0.8,0.7,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,2.8481331134367482
avg_review_score,iqr(avg_review_score),300,0.02,0.8,0.7,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,2.8439113387135615
avg_review_score,iqr(avg_review_score),500,0.02,0.8,1.0,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,2.8418692752018315
avg_review_score,iqr(avg_review_score),300,0.02,0.8,1.0,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,2.840488287183276
avg_review_score,iqr(avg_review_score),200,0.02,0.8,1.0,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,2.823374223334699
avg_review_score,iqr(avg_review_score),500,0.02,0.6,1.0,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,2.7870568420587625
avg_review_score,iqr(avg_review_score),300,0.02,0.6,0.7,False,0.0055248618784530384,0.022099447513812154,0.4,0.25,1.0,2.7711020676684663
